TranID,Time,Price,Volume,SaleOrderVolume,BuyOrderVolume,Type,SaleOrderID,SaleOrderPrice,BuyOrderID,BuyOrderPrice
6268,09:25:02,31.49,200,200,700,B,70618,31.49,135587,31.49
6269,09:25:02,31.49,500,1100,700,B,147173,31.49,135587,31.49
6270,09:25:02,31.49,600,1100,700,B,147173,31.49,132610,31.49
6271,09:25:02,31.49,100,500,700,B,147684,31.49,132610,31.49
6272,09:25:02,31.49,400,500,1200,B,147684,31.49,131166,31.49
6273,09:25:02,31.49,800,1800,1200,B,150738,31.49,131166,31.49
6274,09:25:02,31.49,1000,1800,8000,B,150738,31.49,25722,31.49
6275,09:25:02,31.49,500,500,8000,B,149829,31.49,25722,31.49
6276,09:25:02,31.49,1000,1000,8000,B,153158,31.49,25722,31.49
6277,09:25:02,31.49,500,500,8000,B,151131,31.49,25722,31.49
6278,09:25:02,31.49,100,100,8000,B,151903,31.49,25722,31.49
6279,09:25:02,31.49,500,500,8000,B,154223,31.49,25722,31.49
6280,09:25:02,31.49,700,700,8000,B,141875,31.49,25722,31.49
6281,09:25:02,31.49,500,500,8000,B,147153,31.49,25722,31.49
6282,09:25:02,31.49,100,100,8000,B,3113,31.49,25722,31.49
6283,09:25:02,31.49,600,600,8000,B,154564,31.49,25722,31.49
6284,09:25:02,31.49,200,200,8000,B,152317,31.49,25722,31.49
6285,09:25:02,31.49,1300,1300,8000,B,155212,31.49,25722,31.49
6286,09:25:02,31.49,1000,1100,8000,B,133127,31.49,25722,31.49
6287,09:25:02,31.49,100,1100,100,B,133127,31.49,140432,31.49
6288,09:25:02,31.49,1400,1400,1500,B,145996,31.49,41225,31.49
6289,09:25:02,31.49,100,300,1500,B,117051,31.49,41225,31.49
8954,09:30:00,31.35,300,1000,300,S,158410,31.35,1220,31.35
8955,09:30:00,31.35,700,1000,800,S,158410,31.35,92974,31.35
9885,09:30:01,31.35,100,100,800,S,162564,31.35,92974,31.35
12475,09:30:02,31.33,100,100,200,B,166234,31.33,174146,31.36
12558,09:30:02,31.45,200,200,5000,B,158284,31.45,174590,31.49
12559,09:30:02,31.45,100,100,5000,B,170320,31.45,174590,31.49
12560,09:30:02,31.48,200,200,5000,B,164605,31.48,174590,31.49
12561,09:30:02,31.49,200,300,5000,B,117051,31.49,174590,31.49
12562,09:30:02,31.49,300,300,5000,B,117560,31.49,174590,31.49
12563,09:30:02,31.49,300,300,5000,B,118218,31.49,174590,31.49
12564,09:30:02,31.49,200,200,5000,B,148904,31.49,174590,31.49
12565,09:30:02,31.49,300,300,5000,B,150262,31.49,174590,31.49
12566,09:30:02,31.49,600,600,5000,B,150318,31.49,174590,31.49
12567,09:30:02,31.49,900,900,5000,B,152069,31.49,174590,31.49
12568,09:30:02,31.49,1300,1300,5000,B,154097,31.49,174590,31.49
12569,09:30:02,31.49,400,400,5000,B,155903,31.49,174590,31.49
12907,09:30:02,31.36,100,100,200,S,175581,31.36,174146,31.36
15644,09:30:03,31.34,100,100,1300,B,177036,31.34,188999,31.45
15645,09:30:03,31.35,500,500,1300,B,185109,31.35,188999,31.45
15646,09:30:03,31.45,700,1500,1300,B,179457,31.45,188999,31.45
15752,09:30:03,31.45,300,1500,300,B,179457,31.45,189477,31.45
16282,09:30:03,31.45,500,1500,1300,B,179457,31.45,192530,31.48
16283,09:30:03,31.48,800,800,1300,B,176739,31.48,192530,31.48
16699,09:30:03,31.19,100,100,2200,S,194734,31.19,161173,31.19
18245,09:30:05,31.19,300,300,2200,S,202275,31.19,161173,31.19
20298,09:30:10,31.3,1000,1000,3400,B,195901,31.3,211104,31.3
20299,09:30:10,31.3,1600,1600,3400,B,202088,31.3,211104,31.3
20300,09:30:10,31.3,800,1500,3400,B,204599,31.3,211104,31.3
20445,09:30:10,31.3,700,1500,1000,B,204599,31.3,211677,31.33
21240,09:30:14,31.35,300,300,300,B,202239,31.35,214645,31.35
23313,09:30:26,31.35,200,200,500,B,205368,31.35,220202,31.35
23314,09:30:26,31.35,200,200,500,B,215143,31.35,220202,31.35
23315,09:30:26,31.35,100,100,500,B,218975,31.35,220202,31.35
23711,09:30:28,31.34,900,1500,900,S,220860,31.33,219250,31.34
23712,09:30:28,31.33,300,1500,1000,S,220860,31.33,211677,31.33
23713,09:30:28,31.33,300,1500,1500,S,220860,31.33,220793,31.33
24161,09:30:30,31.33,1100,1100,1500,S,221832,31.33,220793,31.33
24430,09:30:32,31.34,500,500,500,B,222003,31.34,222503,31.34
25496,09:30:38,31.33,100,600,1500,S,224658,31.33,220793,31.33
27918,09:30:51,31.25,600,600,800,S,229998,31.25,217298,31.25
29144,09:30:57,31.33,500,600,500,B,224658,31.33,232691,31.33
29834,09:31:01,31.25,200,1000,800,S,234116,31.25,217298,31.25
31082,09:31:06,31.25,800,1000,1600,B,234116,31.25,236586,31.25
31083,09:31:06,31.25,800,1000,1600,B,235169,31.25,236586,31.25
33637,09:31:19,31.25,200,1000,1000,B,235169,31.25,241523,31.25
33638,09:31:19,31.25,800,900,1000,B,238042,31.25,241523,31.25
34984,09:31:25,31.2,500,1500,500,S,244387,31.19,242183,31.2
34985,09:31:25,31.2,200,1500,200,S,244387,31.19,242936,31.2
34986,09:31:25,31.19,800,1500,2200,S,244387,31.19,161173,31.19
35397,09:31:28,31.25,100,900,100,B,238042,31.25,245244,31.25
35921,09:31:30,31.25,300,300,400,B,241807,31.25,246195,31.25
35922,09:31:30,31.25,100,2300,400,B,242809,31.25,246195,31.25
36296,09:31:32,31.25,1500,2300,1500,B,242809,31.25,247138,31.25
37060,09:31:36,31.21,300,900,300,S,248957,31.2,246977,31.21
37061,09:31:36,31.2,600,900,1000,S,248957,31.2,247176,31.2
41805,09:32:01,31.21,500,500,2000,S,259271,31.21,251329,31.21
42078,09:32:02,31.25,700,2300,2000,B,242809,31.25,259821,31.25
42079,09:32:02,31.25,100,100,2000,B,249587,31.25,259821,31.25
42080,09:32:02,31.25,1200,1400,2000,B,249608,31.25,259821,31.25
42624,09:32:05,31.22,300,700,300,S,260900,31.21,259698,31.22
42625,09:32:05,31.21,400,700,2000,S,260900,31.21,251329,31.21
45556,09:32:20,31.21,100,100,2000,S,266991,31.21,251329,31.21
45916,09:32:22,31.21,400,400,2000,S,267727,31.21,251329,31.21
46056,09:32:22,31.25,100,1400,100,B,249608,31.25,267943,31.25
46081,09:32:23,31.25,100,1400,400,B,249608,31.25,268016,31.25
46082,09:32:23,31.25,200,200,400,B,250798,31.25,268016,31.25
47420,09:32:28,31.25,100,700,400,S,270353,31.25,268016,31.25
47421,09:32:28,31.25,600,700,1300,S,270353,31.25,269540,31.25
47449,09:32:29,31.25,700,1700,1300,S,270433,31.21,269540,31.25
47450,09:32:29,31.21,600,1700,2000,S,270433,31.21,251329,31.21
47451,09:32:29,31.21,400,1700,2000,S,270433,31.21,266092,31.21
47650,09:32:30,31.31,200,200,200,B,267134,31.31,270799,31.31
49652,09:32:41,31.33,1000,1000,1000,B,230926,31.33,275175,31.33
50954,09:32:48,31.34,200,200,3700,B,239272,31.34,278002,31.35
51435,09:32:51,31.35,500,500,3700,S,279128,31.35,278002,31.35
54283,09:33:05,31.35,500,500,3700,S,284884,31.35,278002,31.35
55679,09:33:12,31.35,2500,3000,3700,S,287870,31.35,278002,31.35
56036,09:33:14,31.35,200,3000,200,B,287870,31.35,288720,31.35
56443,09:33:16,31.35,300,3000,5600,B,287870,31.35,289624,31.4
56444,09:33:16,31.35,500,500,5600,B,289077,31.35,289624,31.4
56445,09:33:16,31.4,100,100,5600,B,282564,31.4,289624,31.4
56446,09:33:16,31.4,1000,1000,5600,B,285888,31.4,289624,31.4
56924,09:33:19,31.4,800,800,5600,S,290629,31.4,289624,31.4
57267,09:33:20,31.4,400,400,5600,S,291194,31.4,289624,31.4
57367,09:33:20,31.4,700,700,5600,S,291396,31.4,289624,31.4
58230,09:33:25,31.4,1000,1000,5600,S,293217,31.4,289624,31.4
58638,09:33:27,31.4,800,1500,5600,S,294184,31.37,289624,31.4
62213,09:33:44,31.33,300,300,800,S,301168,31.33,276521,31.33
64149,09:33:53,31.37,700,1500,700,B,294184,31.37,305306,31.37
68386,09:34:13,31.35,100,500,100,B,307476,31.35,313724,31.35
69400,09:34:17,31.33,400,400,800,S,315798,31.33,276521,31.33
69462,09:34:17,31.35,400,500,400,B,307476,31.35,315912,31.35
71403,09:34:26,31.34,1200,1200,5000,B,316036,31.34,319541,31.35
71404,09:34:26,31.35,3000,3000,5000,B,318536,31.35,319541,31.35
71660,09:34:27,31.35,100,100,5000,S,320095,31.35,319541,31.35
71811,09:34:28,31.35,300,300,5000,S,320469,31.35,319541,31.35
72532,09:34:32,31.35,100,100,5000,S,322295,31.35,319541,31.35
73643,09:34:37,31.35,300,1000,5000,S,324632,31.33,319541,31.35
73644,09:34:37,31.33,100,1000,800,S,324632,31.33,276521,31.33
73645,09:34:37,31.33,500,1000,500,S,324632,31.33,298005,31.33
73646,09:34:37,31.33,100,1000,800,S,324632,31.33,321972,31.33
74184,09:34:40,31.35,300,1400,300,B,325881,31.35,325913,31.35
76355,09:34:52,31.33,500,500,800,S,330677,31.33,321972,31.33
76552,09:34:53,31.35,1100,1400,2800,B,325881,31.35,331076,31.35
76553,09:34:53,31.35,200,200,2800,B,325997,31.35,331076,31.35
76554,09:34:53,31.35,500,500,2800,B,326675,31.35,331076,31.35
76555,09:34:53,31.35,900,900,2800,B,330054,31.35,331076,31.35
76556,09:34:53,31.35,100,100,2800,B,330274,31.35,331076,31.35
76658,09:34:53,31.33,200,500,800,S,331299,31.31,321972,31.33
76659,09:34:53,31.31,300,500,700,S,331299,31.31,309446,31.31
80050,09:35:07,31.31,300,300,700,S,337637,31.31,309446,31.31
80809,09:35:11,31.31,100,600,700,S,339160,31.31,309446,31.31
80810,09:35:11,31.31,500,600,800,S,339160,31.31,328874,31.31
80841,09:35:11,31.31,300,1600,800,S,339189,31.3,328874,31.31
80842,09:35:11,31.3,800,1600,800,S,339189,31.3,299360,31.3
80843,09:35:11,31.3,500,1600,1300,S,339189,31.3,303450,31.3
81270,09:35:12,31.31,200,300,200,S,340014,31.3,339478,31.31
81271,09:35:12,31.3,100,300,1300,S,340014,31.3,303450,31.3
82187,09:35:16,31.33,1500,1500,1500,B,331667,31.33,341886,31.33
82556,09:35:18,31.3,700,2000,1300,S,342580,31.3,303450,31.3
82557,09:35:18,31.3,200,2000,200,S,342580,31.3,336551,31.3
85909,09:35:30,31.25,1500,1500,3000,S,348351,31.25,303572,31.25
86203,09:35:31,31.25,100,100,3000,S,348898,31.25,303572,31.25
89924,09:35:43,31.25,1400,1900,3000,S,354461,31.25,303572,31.25
89925,09:35:43,31.25,500,1900,1600,S,354461,31.25,306747,31.25
91365,09:35:47,31.25,300,300,1600,S,356561,31.25,306747,31.25
91687,09:35:49,31.28,500,600,500,B,343291,31.28,357240,31.28
92318,09:35:51,31.25,300,300,1600,S,358321,31.25,306747,31.25
92552,09:35:52,31.25,100,100,1600,S,358713,31.25,306747,31.25
92581,09:35:52,31.25,200,200,1600,S,358741,31.25,306747,31.25
93799,09:35:56,31.28,100,600,400,B,343291,31.28,360436,31.3
93800,09:35:56,31.3,300,2000,400,B,342580,31.3,360436,31.3
94997,09:36:00,31.25,200,500,1600,S,362458,31.25,306747,31.25
96662,09:36:06,31.24,100,100,1000,S,365035,31.24,359356,31.24
97155,09:36:07,31.25,300,500,1400,B,362458,31.25,365865,31.3
97156,09:36:07,31.25,700,700,1400,B,364877,31.25,365865,31.3
97157,09:36:07,31.3,400,2000,1400,B,342580,31.3,365865,31.3
97400,09:36:09,31.24,900,1000,1000,S,366402,31.24,359356,31.24
98283,09:36:12,31.24,100,1000,1500,B,366402,31.24,368070,31.29
98284,09:36:12,31.24,200,200,1500,B,367809,31.24,368070,31.29
98285,09:36:12,31.25,200,200,1500,B,365875,31.25,368070,31.29
98286,09:36:12,31.29,1000,1700,1500,B,366351,31.29,368070,31.29
100612,09:36:22,31.25,400,1000,400,B,370356,31.25,372360,31.25
101344,09:36:25,31.24,100,900,100,S,373460,31.23,373032,31.24
101345,09:36:25,31.23,200,900,200,S,373460,31.23,275800,31.23
101346,09:36:25,31.23,400,900,400,S,373460,31.23,284721,31.23
101347,09:36:25,31.23,200,900,1100,S,373460,31.23,292827,31.23
102256,09:36:29,31.24,200,400,200,S,375324,31.23,373631,31.24
102257,09:36:29,31.23,200,400,1100,S,375324,31.23,292827,31.23
102585,09:36:31,31.23,300,300,1100,S,375945,31.23,292827,31.23
104212,09:36:38,31.23,400,2600,1100,S,379022,31.23,292827,31.23
104213,09:36:38,31.23,2200,2600,2900,S,379022,31.23,300596,31.23
104397,09:36:39,31.23,400,400,2900,S,379421,31.23,300596,31.23
104789,09:36:40,31.23,300,1100,2900,S,380065,31.23,300596,31.23
104790,09:36:40,31.23,200,1100,200,S,380065,31.23,362885,31.23
107717,09:36:52,31.22,500,500,2000,S,385279,31.22,270997,31.22
108774,09:36:57,31.23,100,1100,100,B,380065,31.23,387287,31.23
109227,09:36:59,31.23,200,1100,200,B,380065,31.23,388268,31.23
111752,09:37:09,31.23,100,1100,100,B,380065,31.23,392658,31.23
111827,09:37:10,31.23,200,1100,1500,B,380065,31.23,392828,31.28
111828,09:37:10,31.25,600,1000,1500,B,370356,31.25,392828,31.28
111829,09:37:10,31.28,700,2600,1500,B,388220,31.28,392828,31.28
111838,09:37:10,31.22,900,900,2000,S,392836,31.22,270997,31.22
112758,09:37:14,31.22,100,100,2000,S,394573,31.22,270997,31.22
113221,09:37:15,31.22,500,2000,2000,S,395266,31.21,270997,31.22
113222,09:37:15,31.22,300,2000,300,S,395266,31.21,276857,31.22
113223,09:37:15,31.22,100,2000,100,S,395266,31.21,277292,31.22
113224,09:37:15,31.21,1100,2000,2000,S,395266,31.21,266092,31.21
113401,09:37:16,31.21,500,1000,2000,S,395681,31.21,266092,31.21
113402,09:37:16,31.21,500,1000,1000,S,395681,31.21,306982,31.21
115893,09:37:27,31.21,500,1100,1000,S,400125,31.2,306982,31.21
115894,09:37:27,31.21,200,1100,200,S,400125,31.2,315189,31.21
115895,09:37:27,31.2,400,1100,1000,S,400125,31.2,247176,31.2
116692,09:37:30,31.2,200,1100,200,S,401660,31.19,275399,31.2
116693,09:37:30,31.2,200,1100,200,S,401660,31.19,394226,31.2
116694,09:37:30,31.2,100,1100,100,S,401660,31.19,399018,31.2
116695,09:37:30,31.19,600,1100,2200,S,401660,31.19,161173,31.19
118145,09:37:38,31.19,400,400,2200,S,404864,31.19,161173,31.19
119501,09:37:44,31.2,700,700,1000,S,407178,31.2,406682,31.2
121067,09:37:51,31.22,300,500,300,B,399406,31.22,410122,31.22
122260,09:37:56,31.22,200,500,1500,B,399406,31.22,412336,31.28
122261,09:37:56,31.23,100,100,1500,B,393054,31.23,412336,31.28
122262,09:37:56,31.23,200,200,1500,B,412026,31.23,412336,31.28
122263,09:37:56,31.27,100,100,1500,B,411112,31.27,412336,31.28
122264,09:37:56,31.28,900,2600,1500,B,388220,31.28,412336,31.28
128495,09:38:24,31.23,500,1600,500,S,423867,31.22,423857,31.23
128496,09:38:24,31.22,100,1600,100,S,423867,31.22,413471,31.22
128497,09:38:24,31.22,500,1600,500,S,423867,31.22,416299,31.22
128498,09:38:24,31.22,500,1600,1000,S,423867,31.22,417345,31.22
129643,09:38:28,31.23,300,1600,300,S,425851,31.21,424534,31.23
129644,09:38:28,31.22,500,1600,1000,S,425851,31.21,417345,31.22
129645,09:38:28,31.21,800,1600,800,S,425851,31.21,407271,31.21
130129,09:38:30,31.27,300,300,5000,B,426548,31.27,426720,31.28
130130,09:38:30,31.28,1000,2600,5000,B,388220,31.28,426720,31.28
130382,09:38:32,31.29,600,1700,600,B,366351,31.29,427328,31.29
130563,09:38:33,31.28,200,200,5000,S,427808,31.28,426720,31.28
131815,09:38:40,31.28,300,300,5000,S,430468,31.28,426720,31.28
132092,09:38:41,31.28,100,100,5000,S,431042,31.28,426720,31.28
132097,09:38:41,31.28,100,100,5000,S,431073,31.28,426720,31.28
132762,09:38:45,31.28,600,600,5000,S,432509,31.28,426720,31.28
133214,09:38:47,31.28,800,800,5000,S,433520,31.28,426720,31.28
133487,09:38:49,31.28,1000,1000,5000,S,434145,31.28,426720,31.28
134002,09:38:51,31.29,100,1700,100,B,366351,31.29,435164,31.29
134510,09:38:54,31.28,100,100,5000,S,436125,31.28,426720,31.28
135607,09:39:00,31.28,500,500,5000,S,438549,31.28,426720,31.28
136479,09:39:04,31.28,400,400,2000,S,440184,31.28,428367,31.28
138924,09:39:16,31.29,1000,1000,1500,B,427752,31.29,445004,31.3
138925,09:39:16,31.3,400,2000,1500,B,342580,31.3,445004,31.3
138926,09:39:16,31.3,100,700,1500,B,344422,31.3,445004,31.3
139311,09:39:18,31.28,400,400,2000,S,445712,31.28,428367,31.28
143384,09:39:41,31.28,700,700,2000,S,454409,31.28,428367,31.28
143446,09:39:41,31.28,500,700,2000,S,454557,31.28,428367,31.28
143780,09:39:44,31.28,100,700,100,B,454557,31.28,455336,31.28
144391,09:39:47,31.28,100,700,100,B,454557,31.28,456565,31.28
145146,09:39:51,31.24,200,200,1000,S,457938,31.24,452217,31.24
145861,09:39:55,31.28,100,100,100,B,457217,31.28,459403,31.28
146850,09:40:00,31.28,100,700,100,B,460078,31.28,461412,31.28
147726,09:40:05,31.24,800,1000,1000,S,463055,31.24,452217,31.24
147727,09:40:05,31.24,200,1000,2000,S,463055,31.24,457874,31.24
150436,09:40:19,31.25,1500,3000,1500,S,468275,31.24,466808,31.25
150437,09:40:19,31.24,1500,3000,2000,S,468275,31.24,457874,31.24
150639,09:40:20,31.28,600,700,1500,B,460078,31.28,468604,31.28
150640,09:40:20,31.28,300,300,1500,B,462820,31.28,468604,31.28
150641,09:40:20,31.28,600,600,1500,B,466869,31.28,468604,31.28
151658,09:40:26,31.27,100,100,100,B,470382,31.27,470549,31.27
152030,09:40:27,31.24,300,1000,2000,S,471152,31.24,457874,31.24
152031,09:40:27,31.24,700,1000,3000,S,471152,31.24,470818,31.24
154205,09:40:39,31.24,2300,3200,3000,S,475229,31.24,470818,31.24
154896,09:40:41,31.24,400,3200,400,B,475229,31.24,475974,31.24
158020,09:40:55,31.21,300,500,300,S,480842,31.21,427211,31.21
158021,09:40:55,31.21,200,500,1300,S,480842,31.21,460622,31.21
158527,09:40:58,31.21,600,600,1300,S,481843,31.21,460622,31.21
159025,09:41:00,31.24,500,3200,3000,B,475229,31.24,482456,31.24
159026,09:41:00,31.24,1000,1000,3000,B,481913,31.24,482456,31.24
159839,09:41:05,31.24,900,900,3000,S,484253,31.24,482456,31.24
160741,09:41:10,31.26,1500,3800,1500,B,478038,31.26,485922,31.26
163085,09:41:20,31.24,300,300,3000,S,489817,31.24,482456,31.24
164079,09:41:26,31.25,1000,1000,1300,B,486264,31.25,491877,31.25
164135,09:41:26,31.25,300,400,1300,S,492028,31.24,491877,31.25
164136,09:41:26,31.24,100,400,3000,S,492028,31.24,482456,31.24
166739,09:41:38,31.25,100,1300,100,S,496847,31.24,496238,31.25
166740,09:41:38,31.24,200,1300,3000,S,496847,31.24,482456,31.24
167869,09:41:44,31.24,500,1300,500,B,496847,31.24,498848,31.24
168080,09:41:45,31.21,500,10000,1300,S,499251,31.2,460622,31.21
168081,09:41:45,31.21,500,10000,500,S,499251,31.2,462630,31.21
168082,09:41:45,31.21,500,10000,500,S,499251,31.2,478526,31.21
168083,09:41:45,31.21,1700,10000,1700,S,499251,31.2,489187,31.21
168084,09:41:45,31.2,300,10000,1000,S,499251,31.2,406682,31.2
168085,09:41:45,31.2,2000,10000,2000,S,499251,31.2,408542,31.2
168086,09:41:45,31.2,600,10000,600,S,499251,31.2,408800,31.2
168087,09:41:45,31.2,2000,10000,2000,S,499251,31.2,417372,31.2
168088,09:41:45,31.2,500,10000,500,S,499251,31.2,421420,31.2
168089,09:41:45,31.2,500,10000,500,S,499251,31.2,432200,31.2
168090,09:41:45,31.2,900,10000,900,S,499251,31.2,449307,31.2
171351,09:42:01,31.24,500,1300,1500,B,496847,31.24,505485,31.26
171352,09:42:01,31.25,700,700,1500,B,498119,31.25,505485,31.26
171353,09:42:01,31.26,300,3800,1500,B,478038,31.26,505485,31.26
171508,09:42:02,31.21,500,500,1000,S,505740,31.21,501719,31.21
172087,09:42:05,31.21,500,1600,1000,S,506949,31.21,501719,31.21
174270,09:42:16,31.21,400,1600,400,B,506949,31.21,511191,31.21
174955,09:42:20,31.21,700,1600,1000,B,506949,31.21,512468,31.21
176028,09:42:25,31.21,300,500,1000,S,514484,31.2,512468,31.21
176029,09:42:25,31.2,200,500,300,S,514484,31.2,503480,31.2
176523,09:42:27,31.2,100,300,300,S,515216,31.2,503480,31.2
176938,09:42:29,31.2,200,300,1800,B,515216,31.2,515935,31.21
176946,09:42:29,31.21,800,800,1800,S,515961,31.21,515935,31.21
178678,09:42:38,31.21,800,900,1800,S,519258,31.21,515935,31.21
179477,09:42:42,31.21,100,900,100,B,519258,31.21,520761,31.21
181331,09:42:50,31.21,600,600,9200,B,520405,31.21,523950,31.21
184726,09:43:06,31.24,900,900,1500,B,528566,31.24,529867,31.25
184727,09:43:06,31.25,600,3100,1500,B,517824,31.25,529867,31.25
187367,09:43:16,31.25,2500,3100,4800,B,517824,31.25,533804,31.25
187388,09:43:16,31.25,400,400,4800,S,533840,31.25,533804,31.25
187776,09:43:18,31.25,500,500,4800,S,534511,31.25,533804,31.25
189260,09:43:25,31.25,1400,1500,4800,S,537135,31.24,533804,31.25
189269,09:43:26,31.24,100,1500,100,B,537135,31.24,537168,31.24
189355,09:43:26,31.21,100,100,9200,S,537317,31.21,523950,31.21
191640,09:43:38,31.23,300,2100,300,S,541571,31.21,540971,31.23
191641,09:43:38,31.22,1500,2100,1500,S,541571,31.21,540618,31.22
191642,09:43:38,31.21,300,2100,9200,S,541571,31.21,523950,31.21
193838,09:43:46,31.21,300,300,9200,S,544662,31.21,523950,31.21
193941,09:43:47,31.24,300,300,5600,B,541254,31.24,544869,31.25
195297,09:43:54,31.25,800,800,5600,S,547436,31.25,544869,31.25
196202,09:43:58,31.25,1100,1100,5600,S,549017,31.25,544869,31.25
197177,09:44:03,31.26,2000,3800,2200,B,478038,31.26,550661,31.26
197178,09:44:03,31.26,100,100,2200,B,486377,31.26,550661,31.26
197179,09:44:03,31.26,100,1000,2200,B,548292,31.26,550661,31.26
198089,09:44:07,31.26,900,1000,1500,B,548292,31.26,552069,31.26
199568,09:44:13,31.26,600,1000,1500,S,554538,31.25,552069,31.26
199569,09:44:13,31.25,400,1000,5600,S,554538,31.25,544869,31.25
202652,09:44:28,31.28,100,100,1100,B,555834,31.28,560113,31.3
202653,09:44:28,31.3,600,700,1100,B,344422,31.3,560113,31.3
202654,09:44:28,31.3,400,1000,1100,B,389206,31.3,560113,31.3
203064,09:44:31,31.26,100,500,100,S,560957,31.26,555335,31.26
203065,09:44:31,31.26,400,500,1200,S,560957,31.26,558949,31.26
204115,09:44:36,31.26,800,1634,1200,S,562996,31.26,558949,31.26
204116,09:44:36,31.26,834,1634,3600,S,562996,31.26,560439,31.26
204548,09:44:38,31.26,500,500,3600,S,563675,31.26,560439,31.26
206059,09:44:46,31.26,400,400,3600,S,566447,31.26,560439,31.26
207541,09:44:55,31.26,300,300,3600,S,569839,31.26,560439,31.26
207554,09:44:55,31.27,100,200,100,B,569396,31.27,569855,31.27
210929,09:45:15,31.26,100,100,3600,S,576742,31.26,560439,31.26
211562,09:45:18,31.27,100,200,1500,B,569396,31.27,577994,31.3
211563,09:45:18,31.3,600,1000,1500,B,389206,31.3,577994,31.3
211564,09:45:18,31.3,500,500,1500,B,533205,31.3,577994,31.3
212008,09:45:21,31.3,300,600,1500,S,578791,31.26,577994,31.3
212009,09:45:21,31.26,300,600,3600,S,578791,31.26,560439,31.26
214923,09:45:36,31.34,100,1100,100,B,434320,31.34,583789,31.34
215351,09:45:39,31.34,300,1100,300,B,434320,31.34,584766,31.34
215955,09:45:41,31.34,100,1100,100,B,434320,31.34,585648,31.34
220557,09:46:08,31.34,200,1100,200,B,434320,31.34,594528,31.34
223971,09:46:28,31.33,1500,1500,1500,B,596662,31.33,600709,31.33
225003,09:46:34,31.32,200,200,200,B,600867,31.32,602737,31.32
225921,09:46:40,31.3,1000,1400,1000,S,604419,31.3,596471,31.3
230146,09:47:03,31.26,100,100,3600,S,611731,31.26,560439,31.26
230588,09:47:05,31.3,400,1400,500,B,604419,31.3,612453,31.3
230589,09:47:05,31.3,100,100,500,B,609519,31.3,612453,31.3
231907,09:47:12,31.26,400,400,3600,S,614760,31.26,560439,31.26
232855,09:47:17,31.26,666,3166,3600,S,616233,31.26,560439,31.26
232856,09:47:17,31.26,100,3166,100,S,616233,31.26,573798,31.26
232857,09:47:17,31.26,500,3166,500,S,616233,31.26,574828,31.26
232858,09:47:17,31.26,100,3166,100,S,616233,31.26,577815,31.26
